City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Marawi,7.9986,124.2928,303.26,49,69,2.73,PH,1627270795
Korla,41.7597,86.1469,308.75,12,0,5.53,CN,1627270622
Belmonte,-15.8631,-38.8828,292.43,84,65,3.42,BR,1627270796
Kirkland Lake,48.1446,-80.0377,290.31,94,76,2.55,CA,1627270796
Aykhal,66.0,111.5,301.52,38,6,5.7,RU,1627270628
Garissa,-0.4536,39.6401,294.65,71,11,7.99,KE,1627270796
Novaya Malykla,54.2,49.95,290.92,53,99,0.47,RU,1627270797
Flinders,-34.5833,150.8552,291.37,56,78,2.24,AU,1627270797
Newport,51.5877,-2.9984,289.3,90,18,1.43,GB,1627270797
Iquique,-20.2208,-70.1431,288.17,79,100,1.65,CL,1627270797
Volksrust,-27.3654,29.8818,273.07,85,0,1.4,ZA,1627270798
Boddam,57.4667,-1.7833,289.47,96,55,5.35,GB,1627270798
Bāgeshwar,29.85,79.7667,297.7,90,99,0.9,IN,1627270798
Wakkanai,45.4094,141.6739,299.14,83,75,5.14,JP,1627270798
Sokoni,-6.4333,39.55,296.4,72,50,8.66,TZ,1627270799
Bentiu,9.2333,29.8333,294.41,98,100,2.05,SS,1627270799
San Agustín Acasaguastlán,14.95,-89.9667,297.13,89,7,0.95,GT,1627270799
Diplo,24.4667,69.584,301.95,78,100,11.0,PK,1627270799
Terra Roxa,-23.8557,-50.0314,286.36,51,0,1.38,BR,1627270800
Ericeira,38.9627,-9.4156,293.88,96,55,4.33,PT,1627270800
Busselton,-33.65,115.3333,292.06,73,0,11.68,AU,1627270800
Acapulco de Juárez,16.8634,-99.8901,300.63,86,83,3.7,MX,1627270801
Luangwa,-15.6167,30.4167,283.61,88,4,0.46,ZM,1627270801
Price,39.5994,-110.8107,300.74,28,1,3.09,US,1627270750
Nikel,69.4128,30.222,280.25,74,69,5.39,RU,1627270801
Ndélé,8.4109,20.6473,294.16,98,100,1.63,CF,1627270802
Vila,42.0304,-8.1588,285.56,92,6,1.75,PT,1627270802
Bluff,-46.6,168.3333,283.04,86,100,1.74,NZ,1627270802
Maragogi,-9.0122,-35.2225,295.81,88,28,4.5,BR,1627270788
Lakes Entrance,-37.8811,147.981,292.14,51,41,6.39,AU,1627270802
Rio Grande,-32.035,-52.0986,289.93,85,43,3.31,BR,1627270803
Port-Gentil,-0.7193,8.7815,297.33,80,100,3.3,GA,1627270804
Tilichiki,60.4667,166.1,286.57,91,100,3.54,RU,1627270804
George Town,5.4112,100.3354,305.31,74,20,0.45,MY,1627270763
La Santisima Trinidad,-14.8333,-64.9,296.17,54,12,1.51,BO,1627270805
Buritama,-21.0661,-50.1472,290.49,36,0,3.13,BR,1627270805
Chunskiy,56.0815,99.6342,301.75,35,98,3.07,RU,1627270805
Korablino,53.9164,40.0133,291.39,55,15,1.47,RU,1627270805
Rawson,-43.3002,-65.1023,278.85,49,19,7.02,AR,1627270806
Touros,-5.1989,-35.4608,295.65,91,10,4.39,BR,1627270806
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,292.54,64,100,3.47,AR,1627270807
Tiksi,71.6872,128.8694,284.65,79,85,6.23,RU,1627270582
